filename,size_bytes,mime,type,sha256
a_cinematic_storyboard_teaser_poster_collage_for_a.png,2947965,image/png,image,505578b1c7c89b845a35dfcf09fe4dad9347d8857326af477eb981784725235d
a_dark_fantasy_promotional_concept_art_collage_inf.png,2610609,image/png,image,ef7a1bcef771a57604a9994167bd55583853f7826fc40bfeefe68741037f2dd8
a_high_detail_game_art_design_document_concept_a.png,2658079,image/png,image,28824f868eff771849c2b1f61d23016b789582e01882bc3aea71a4a5fb9c6570
a_high_detail_game_design_level_design_infographic.png,2828433,image/png,image,3a73739acaf7a23616ffe5e8c0ad069fba04dbe75afda29ffd71a542a7a26944
a_highly_detailed_concept_art_game_design_infogr.png,2902825,image/png,image,b18a3d938c431cf171235e50bf15edb97e2eba84c3e235fcd6b2dafdc5f45539
a_highly_detailed_fantasy_game_map_artwork_infog.png,3051030,image/png,image,10b09213d1fc9dee615adb3b4eda3f3999dab833037f9cacaf91e582e3e3aaf5
a_highly_detailed_game_art_bible_environment_des.png,2890884,image/png,image,6b23abefbd25b9799bfd6c4c8bbd106a168d9b0df0dcc549cc883e20613df7e0
a_highly_detailed_game_art_design_document_envir.png,2668285,image/png,image,91a6094dbdb8be5dedda89d32c34828ecce14a9fa5f83796c7254da32353e9f9
a_highly_detailed_game_art_design_sheet_environm.png,2775648,image/png,image,a78ab28a978269645a9e9096fbb1e4108cbb6b358b43686c85c54d09cff250b7
a_highly_detailed_game_design_asset_branding_board.png,2737780,image/png,image,0c643ef23066f5d60f917194a16de50ea014bb386d85e25854e4c4d1adca1bd6
a_highly_detailed_infographic_game_design_concept.png,2777505,image/png,image,75001661e17c8bfeb7c58197ae516cd0d2c651c767a03f6061cc6a07778f3af5
a_highly_detailed_infographic_tech_art_map_board_i.png,2914498,image/png,image,fe191da16f207de79516285627dccf06cb26bc15096c5472269c1b91369c067c
a_highly_detailed_multi_panel_environment_design_s.png,2844855,image/png,image,9868505a7c80b48ae05f419dbabc8877057a4193794854ec2d39ff53a75cb7ba
a_highly_detailed_technical_game_design_infograph.png,2834276,image/png,image,b08dd6123fde09762f5d22a532f329b04334ff46b52f3ab6fe4db9326764925f
a_large_dark_fantasy_concept_art_infographic_styl.png,2594118,image/png,image,1cca94c11a8b21e19eb447ebe2bb3900600be21d030d9964d5966cb5ddbd6b8e
a_large_highly_detailed_game_art_concept_asset_bo.png,2549343,image/png,image,23dae14b2286914e3d5c9e9b48a92f585ac443635df774b8909ff221ad17f9a9
a_wide_highly_detailed_promotional_storyboard_pos.png,3055271,image/png,image,40b400e8670697c39a2bc22b60954f512e41377765b86adb59ee240bf3497e35
gemini_generated_video_7C03F426.MP4,2358939,video/mp4,video,faed55f2d7c0de70a74e332390dc9a2ab73ac9542f06fb155314bf52613545bb
gemini_generated_video_DFF0B0F4.MP4,2271195,video/mp4,video,559b32703dfa94d6ba1985c4871745e0e75f14c45b13eb1082ef9bea7b5ad65c
أفكار رسومات وتصاميم.txt,3286,text/plain,text,3ec35e7e9c7a0c8b706cdd3824221e5957f2469ba50463815e4e3e87d8ce2cba
إعلان تشويقي HVM NARIS.txt,8215,text/plain,text,20c1434b42269386c2301bc57effd6eb75ee67cda4f1b18253ceb5b35888200a
تصميم لعبة Naris.txt,2087,text/plain,text,3b9ceed467683c91d79de40b4d4a5665adb853ea47fdab90f5baa8961baf457
تصميم هوية بصرية.txt,3735,text/plain,text,73b0a776eae5beb07f4e96924ec0adaf0e45c3aa0427e4e7073fdd1ff65a89cf
حزمة الشخصيات الرئيسية.txt,1238,text/plain,text,08da6bd9c2edf812b5a62e44bad01354bf092a6e09de185901a060ed6934175c
فيديو تسويقي احترافي.txt,8348,text/plain,text,c969688a0daebaabd0663c5abc1b788f13960bfe06677f89834acad3d7ff2d51
مجلد اللعبة الكامل.txt,654,text/plain,text,26089fc05ff92d794baa2de3a3941886afa357a1e8ebac5cf019e77ffe1b33cb
